timestamp,accX,accY,accZ,speed,tiltAngle,vibration
44,1,1,2,40,4,0
159,-1,-1,2,40,1,0
275,-1,1,2,40,4,0
391,0,-1,2,40,2,0
506,1,-1,1,40,3,0
622,0,-1,2,40,2,0
738,-1,-1,1,40,4,0
854,0,0,0,40,1,0
969,1,-1,1,40,0,0
1085,-1,-1,1,40,2,0
1202,0,-1,2,40,1,0
1317,1,1,1,40,0,0
1433,1,-1,2,40,0,0
12,-1,1,2,40,2,0
12,0,1,0,40,3,0
128,-1,0,0,40,3,0
243,-1,1,1,40,4,0
360,1,0,2,40,1,0
476,1,-1,2,40,2,0
591,0,1,0,40,2,0
707,1,0,1,40,0,0
823,-1,0,2,40,0,0
939,1,0,0,40,4,0
12,0,1,2,40,1,0
128,0,1,0,40,0,0
246,0,1,1,40,0,0
362,1,1,2,40,2,0
478,-1,-1,1,40,2,0
593,0,-1,0,40,3,0
709,-1,-1,0,40,1,0
825,-1,1,0,40,2,0
941,0,-1,2,40,3,0
1056,1,0,2,40,0,0
1173,-1,0,1,40,4,0
1289,1,1,2,40,4,0
1404,0,0,2,40,4,0
1520,2,-2,1,40,2,0
1636,-1,1,1,40,2,0
1752,-1,1,1,40,4,0
1867,0,-1,2,40,2,0
1983,1,0,2,40,3,0
2100,-1,1,0,40,2,0
2215,0,0,0,40,1,0
2331,1,1,2,40,1,0
2447,-1,-1,1,40,1,0
2563,1,-1,2,40,0,0
2678,-1,0,1,40,1,0
2794,-1,0,2,40,4,0
2910,-1,0,1,40,0,0
3025,1,-1,0,40,4,0
3142,1,1,1,40,4,0
3260,1,1,0,40,2,0
3376,0,0,0,40,4,0
3491,1,-1,0,40,4,0
3607,0,1,0,40,2,0
3723,0,-1,1,40,2,0
3838,-1,-1,0,40,1,0
3955,1,1,0,40,3,0
4071,0,-1,0,40,2,0
4187,1,-1,2,40,4,0
4302,-1,0,0,40,3,0
4418,-1,0,0,40,2,0
4534,-1,0,1,40,3,0
4649,0,1,2,40,0,0
4765,1,0,1,40,0,889
4882,0,1,1,40,4,86
4998,0,0,1,40,2,76
5113,-1,0,0,40,4,69
5229,0,0,1,40,3,61
5346,1,-1,1,40,4,55
5462,0,-1,1,40,1,48
5577,0,1,2,40,0,44
5693,1,-1,2,40,2,38
5809,1,-1,0,40,0,34
5925,0,-1,0,40,2,30
6041,0,1,1,40,4,28
6157,-1,1,0,40,2,23
6275,1,0,2,40,2,864
6391,0,0,2,40,0,107
6507,-1,0,0,40,1,97
6623,0,1,0,40,0,86
6739,3,1,1,40,0,77
6855,0,1,2,40,3,70
6971,1,1,2,40,2,63
7087,0,0,0,40,1,56
7202,1,1,0,40,2,51
7319,0,-1,2,40,0,45
