timestamp,accX,accY,accZ,speed,tiltAngle,vibration
38,0,0,-9,40,10,611
155,0,0,-9,40,10,13
272,0,0,-9,40,10,1
390,0,0,-9,40,10,4
506,0,0,-9,40,10,4
623,0,0,-9,40,10,3
740,0,0,-9,40,10,4
858,0,0,-9,40,10,5
974,0,0,-9,40,10,5
14,0,0,-9,40,10,672
131,0,0,-9,40,10,1
248,0,0,-9,40,10,5
365,0,0,-9,40,10,4
482,0,0,-9,40,10,5
599,0,0,-9,40,10,4
716,0,0,-9,40,10,4
833,0,0,-9,40,10,4
950,0,0,-9,40,10,4
1067,0,0,-9,40,10,2
1184,0,0,-9,40,10,6
1301,0,0,-9,40,10,3
1418,0,0,-9,40,10,2
1536,0,0,-9,40,10,4
1654,0,0,-9,40,10,4
1771,0,0,-9,40,10,2
1889,0,0,-9,40,10,3
2006,0,0,-9,40,10,3
2122,0,0,-9,40,10,4
2240,0,0,-9,40,10,2
2357,0,0,-9,40,10,3
2473,0,0,-9,40,10,3
2590,0,0,-9,40,10,3
2708,0,0,-9,40,10,1
2825,0,0,-9,40,10,3
2941,0,0,-9,40,10,2
3058,0,0,-9,40,10,2
3176,0,0,-9,40,10,3
3293,0,0,-9,40,10,2
3409,0,0,-9,40,10,3
3527,0,0,-9,40,10,2
3644,0,0,-9,40,10,2
3761,0,0,-9,40,10,1
3877,0,0,-9,40,10,2
3995,0,0,-9,40,10,4
4112,0,0,-9,40,10,5
4229,0,0,-9,40,10,1
4346,0,0,-9,40,10,1
4463,0,0,-9,40,10,1
4578,0,0,-9,40,10,3
4695,0,0,-9,40,10,0
4812,0,0,-9,40,10,1
4929,0,0,-9,40,10,1
5046,0,0,-9,40,10,2
5164,0,0,-9,40,10,1
5280,0,0,-9,40,10,2
5397,0,0,-9,40,10,2
5514,0,0,-9,40,10,0
5632,0,0,-9,40,10,1
5748,0,0,-9,40,10,2
5865,0,0,-9,40,10,1
5983,0,0,-9,40,10,5
6099,0,0,-9,40,10,3
6216,0,0,-9,40,10,3
6333,0,0,-9,40,10,3
6451,0,0,-9,40,10,5
6567,0,0,-9,40,10,3
6684,0,0,-9,40,10,2
6802,0,0,-9,40,10,1
6919,0,0,-9,40,10,7
7035,0,0,-9,40,10,7
7152,0,0,-9,40,10,12
7270,0,0,-9,40,10,8
7389,0,0,-9,40,10,2
7506,0,0,-9,40,10,6
7623,0,0,-9,40,10,1
7740,0,0,-9,40,10,1
7857,0,0,-9,40,10,0
7974,0,0,-9,40,10,5
8091,0,0,-9,40,10,2
8208,0,0,-9,40,10,5
8326,0,0,-9,40,10,1
8442,0,0,-9,40,10,1
8559,0,0,-9,40,10,2
8676,0,0,-9,40,10,2
8794,0,0,-9,40,10,0
8910,0,0,-9,40,10,1
9027,0,0,-9,40,10,7
9144,0,0,-9,40,10,4
9262,0,0,-9,40,10,2
9378,0,0,-9,40,10,0
9495,0,0,-9,40,10,1
9613,0,0,-9,40,10,1
9730,0,0,-9,40,10,1
9846,0,0,-9,40,10,0
9963,0,0,-9,40,10,5
10081,0,0,-9,40,10,1
10200,0,0,-9,40,10,1
10317,0,0,-9,40,10,11
10434,0,0,-9,40,10,5
10551,0,0,-9,40,10,6
10669,0,0,-9,40,10,14
10785,0,0,-9,40,10,24
10902,0,0,-9,40,10,9
11020,0,0,-9,40,10,0
11137,0,0,-9,40,10,2
11253,0,0,-9,40,10,20
11371,0,0,-9,40,10,7
11488,0,0,-9,40,10,9
11604,0,0,-9,40,10,2
11722,0,0,-9,40,10,2
11839,0,0,-9,40,10,3
11956,0,0,-9,40,10,2
12072,0,0,-9,40,10,0
12190,0,0,-9,40,10,1
12307,0,0,-9,40,10,0
12424,0,0,-9,40,10,1
12541,0,0,-9,40,10,0
12658,0,0,-9,40,10,0
12775,0,0,-9,40,10,15
12895,0,0,-9,40,10,41
13011,0,0,-9,40,10,2
13129,0,0,-9,40,10,11
13246,0,0,-9,40,10,4
13363,0,0,-9,40,10,5
13480,0,0,-9,40,10,0
13597,0,0,-9,40,10,2
13714,0,0,-9,40,10,1
13832,0,0,-9,40,10,0
13948,0,0,-9,40,10,2
14065,0,0,-9,40,10,4
14183,0,0,-9,40,10,3
14300,0,0,-9,40,10,2
14416,0,0,-9,40,10,1
14533,0,0,-9,40,10,0
14651,0,0,-9,40,10,0
14768,0,0,-9,40,10,0
14884,0,0,-9,40,10,0
15002,0,0,-9,40,10,0
15119,0,0,-9,40,10,1
15236,0,0,-9,40,10,1
15353,0,0,-9,40,10,2
15470,0,0,-9,40,10,1
15589,0,0,-9,40,10,1
15707,0,0,-9,40,10,0
15823,0,0,-9,40,10,1
15940,0,0,-9,40,10,0
16058,0,0,-9,40,10,1
16175,0,0,-9,40,10,1
16291,0,0,-9,40,10,1
16408,0,0,-9,40,10,1
